Pos	Item Category	BOM Component	Quantity	SPI
031	L	FDU:70000004367766	1.00	
001	L	FDU:70000004367506	1.00	
020	L	FDU:70000004085063	1.00	
022	L	FDU:70000004547530	1.00	
027	L	FDU:70000004810215	1.00	
030	L	FDU:70000004085063	1.00	
031	L	FDU:70000004982701	1.00	
050	L	FDU:70000004090027	1.00	
051	L	FDU:70000004050648	6.00	
055	L	FDU:70000004367731	1.00	
060	L	FDU:70000004085063	2.00	
061	L	FDU:70000004085043	2.00	
065	L	FDU:70000004081979	2.00	
070	L	FDU:70000004630420	2.00	
101	L	FDU:70000004086531	1.00	
230	L	FDU:70000004087692	1.00	
130	L	FDU:70000004372491	1.00	
135	L	FDU:70000004051327	1.00	
140	L	FDU:70000004728543	1.00	
132	L	FDU:70000004087467	1.00	
146	L	FDU:70000004051327	1.00	
160	L	FDU:70000004366955	2.00	
340	L	FDU:70000004084551	1.00	
345	L	FDU:70000004084552	1.00	
346	L	FDU:70000004441872	1.00	
301	L	FDU:70000004083528	1.00	
305	L	FDU:70000004370108	1.00	
320	L	FDU:70000004085987	1.00	
351	L	FDU:70000004087678	1.00	
000	L	FDU:70000004086982	1.00	
401	L	FDU:70000004003365	1.00	
201	L	FDU:70000004366231	1.00	
205	L	FDU:70000004014164	4.00		
210	L	FDU:70000004050810	8.00	
220	L	FDU:70000004083277	1.00	
225	L	FDU:70000004083274	1.00	
331	L	FDU:70000004441775	1.00	
335	L	FDU:70000004051273	1.00	
000	L	FDU:70000004031829	1.00	
522	L	FDU:A5E42430230	1.00	
523	L	FDU:70000004596566	1.00	
000	L	FDU:70000004844845	1.00	
000	L	FDU:53857071040002	1.00	
309	L	FDU:70000004045422	0.02	
301	L	FDU:51297071131001	1.00	
306	L	FDU:70000004025848	1.00	
307	L	FDU:70000004051303	1.00	
308	L	FDU:70000004051275	1.00	
312	L	FDU:70000004157370	1.00	
313	L	FDU:70000004082736	1.00	
401	L	FDU:51297071022101	1.00	
405	L	FDU:70000004002763	2.00	
406	L	FDU:70000004011672	1.00	
412	L	FDU:70000004003043	1.00	
000	L	FDU:A5E35491302	1.00	
602	L	FDU:70000004051548	1.00	
603	L	FDU:70000004051271	2.00	
000	L	FDU:70000004003259	1.00	
703	L	FDU:70000004190578	4.00	
702	L	FDU:53127071000001	4.00	
010	L	FDU:70000004011410	1.00	
506	L	FDU:55287071071002	1.00	
730	L	FDU:70000004052705	1.00	
